gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
MDC1-AS1	83.43051686081792	3.2043892981609976	0.22085879018021343	2.725003396214506e-48	5.880557329030904e-44
TPRN	586.976021462879	-1.2662280800089598	0.08850333611874192	2.8222163973755474e-48	6.090342985536431e-44
ENSG00000267512	53.69203617174992	3.4391145418869287	0.23790233706409142	5.161555788240341e-48	1.1138637391022657e-43
LRRC2	605.9238316230966	1.0432186477719771	0.07300827963360333	6.50190696819842e-48	1.403111523737219e-43
REX1BD	474.6662730801001	-1.424784742593041	0.10055285557111453	1.0990271319028022e-47	2.3717005506462473e-43
NOTCH3	4368.032688641228	-1.0226813191955888	0.07182139421123654	1.3972732896296966e-47	3.0153157590208852e-43
TELO2	1695.184162141216	-1.147908560282683	0.08112969990593297	3.761227274207212e-47	8.116728457739163e-43
SLC1A6	356.3133898391811	-1.1778592779876689	0.08360024333752321	8.159555068044219e-47	1.7608319836839423e-42
SLC29A2	900.349506027703	-1.393488147335655	0.09970598140214919	1.9306343795720202e-46	4.1663089911164195e-42
NAT14	766.6878091621992	-1.1974035045851767	0.08548898864468917	2.4873632491756813e-46	5.36772989172112e-42
ADGRB1	271.78673331801474	-1.537459430819459	0.11053528250327267	2.7516270281066253e-46	5.938011126654098e-42
PTPN14	617.6691555913841	1.2790130386346554	0.09164508234541605	3.937343315187164e-46	8.496786874173899e-42
MFSD5	563.3581219252833	-1.288484025091131	0.09277855609002814	9.922346787736425e-46	2.1412424367935205e-41
SDF2L1	416.78715259472114	-1.9057523868154005	0.13811126984882008	1.1296337640200253e-45	2.4377496627552145e-41
LRCH4	199.868966301631	-1.7878444783632241	0.1304469687947568	3.1277962563986525e-45	6.749784321308293e-41
CD151	1851.7668886235485	-1.0838640206741887	0.07856966699511189	6.291683331267387e-45	1.357745262887502e-40
ABCC10	388.37386275971664	-1.3412047618376486	0.0977275398036856	7.931470318323333e-45	1.7116112946941752e-40
IGSF9	887.1441316371727	-1.0954313185465132	0.07959159328378043	9.512252812226428e-45	2.052744156878463e-40
ENSG00000269243	42.60172591962908	4.474424861818692	0.3242664355106578	2.2066766263329514e-44	4.762008159626509e-40
MVD	2846.659977573675	-1.864682101901052	0.13750827445215424	2.636478836141544e-44	5.689521328393453e-40
ENSG00000260570	52.90761545318748	4.2161759025685726	0.3055697428122842	2.8997121960954783e-44	6.257578919174042e-40
QTRT1	778.806893491889	-1.0660117933725661	0.07796482253992536	3.530456203955412e-44	7.618724488135779e-40
CLPP	964.78522623036	-1.12991835658993	0.08278207704383508	4.209664643363118e-44	9.084456300377609e-40
ENSG00000286223	89.21856244897968	2.5659437637205156	0.18653032544164214	5.839295630379207e-44	1.2601199970358329e-39
ENTREP3	1285.025034588004	-1.4424178915655321	0.10661856626608016	7.613949207414885e-44	1.6430902389601323e-39
ZBTB45	521.985366838547	-1.1999479226020842	0.08854823238010769	1.3448849832457284e-43	2.9022617938442818e-39
ENSG00000249209	181.57414958367502	1.54340775531383	0.11492718677394496	1.9696200043976013e-43	4.250439969490024e-39
GCSH	90.25262101006383	-3.08456722584949	0.2249477200028719	2.20726313149239e-43	4.763273837760577e-39
C4orf48	90.42753773242607	-3.6549132753259825	0.26715763352995614	2.4929995702727594e-43	5.379893072648615e-39
MOGS	1541.56976447116	-1.0164167996163676	0.07513402207675797	2.895070797269878e-43	6.247562780508397e-39
RABAC1	359.5506133695027	-1.3295058232442392	0.09877868420130265	3.0692925955577313e-43	6.623533421213584e-39
ENSG00000261505	48.051900444278424	3.11108256237407	0.22847617168658213	8.1995113284035e-43	1.7694545446694754e-38
WDR90	350.2845726329252	-1.4679819863043406	0.11005275569364209	8.905266606585024e-43	1.9217565337010482e-38
CDK2AP2	710.5074097647863	-1.0275835117241645	0.0764806988833968	9.810285428893663e-43	2.1170595955552524e-38
HGH1	977.9411947361638	-1.1849713694390518	0.0884125449316536	1.0470022571896884e-42	2.2594308710153477e-38
